"","num","title","content"
"1",2,"아싸 엔프피 생겼다~~~","다들 많이 달려죠"
"2",4,"진짜만들엇네","오 "
"3",8,"나도 공지 읽었는데 무쳤다","정리잘하는애 노트같아 "
"4",9,"엔프피갤인데 공지가 엔프피같지 않음","엔프피라면 아마...공지도 안써놨을듯"
"5",12,"와 뭐야이거","내가 사실 만들려고 했다가 빠꾸먹어서 상심하고 있었거든고맙다!!!!!!!"
"6",13,"공무원 공기업 엔프피있냐","나 가고싶은데 지낼만함? "
"7",15,"야 애들아 나좀봐봐 엔프피맞냐?!","nfp인건 확실하거덩?근데 i인지e인지 헷갈린다말이지 사람들이랑 있는 거 좋아하는데 낯을 많이 가림그래서 어색한 상황에서는 오히려 이것저것 질문 개많이하는데 속으로 어색해 미칠거같음ㅜㅜ하지만 티를 안내려구하지 모임같은거 거의 다 나가는데 아 맞다친구랑 싸울 때 친한애들은 뭐만하면 서로 싸우고 별로 가깝지않은 상대한테는 조곤조곤 말하다가 한번 빵터지면 이 세상욕은 다하는듯,! 글구 제일 많이 듣는 소리가 첫인상이랑 실제로 디게 다르다 이말엄청 들음 왜냐면 어느정도 친해지면 맘편하게 똘끼짓을 할 수 있으니"
"8",16,"엔프피랑 상관있는지 모르겠느ㄴ데","나는 거리랑 호감도가 비례함 자주보면 볼수록 좋아하게되더라 "
"9",19,"엔프피 이지만 피를 제로 가끔 바꾸고 싶음","나는 너무 자기만족과 오늘의 즐거움에 맡겨 사는 느낌이 들고  자괴감이 올때마다 그렇다  근데 아무리 우울하고 상황이 빡빡해도  약한 엔트피가 가끔 나올뿐이지  엔프제는 절대 안나오드라  쩝 ㅋㅋ  "
"10",20,"엔프피들 잘하는거 하나씩 쓰고가","고냥 궁금해서<U+204E><U+1D55><U+1D17><U+1D55><U+204E> 엔프피 자랑타임ㄱㄱ나는 운동을 꽤 잘한다!"
"11",21,"엔프피들 안녕!","하잇"
"12",23,"어제 보름 사진 찍어야지 하고 나갈라했는데 ","먹구름이랑 눈와서 포기하고 오늘 찍어야지 했는데 나가기귀찮다 "
"13",24,"달 사진 폰으로는 예쁘게 못찍음?ㅜㅜ",""
"14",26,"갖고 싶은 게 너무 많은데 그만한 노력을 할 자신은 없다","계기가 생기면 바뀔까 아니면 바뀌고 나면 계기가 생길까 "
"15",27,"에니어그램 갤러리에서 왔","         공지 점 갖다써도 되는지 물어보려고 옴<U+00A0>가운데 내용만        "
"16",29,"mbti는 근거없는 미신이야","(대충 mbti모라모라시떡시떡 화나서 까는 내용)"
"17",30,"1일 1글: 오늘의 고충","과외수니 수업 준비하는데내 공부스타일이랑 과외수니 공부스타일이랑 너무 달라서 조금 힘들다나는 계획도 안 세우고 문제 풀때도 맨날 그림그려가면서머릿속에서 그림을 상상하면서 풀었었는데우리 과외수니는 정반대다모든게 착착 기계적으로 들어맞고 정리되어야 직성이 풀리는 타입이다 큰 계획이 있어야 하고일단 j인 건 완전 확실하다J유형에게 맞는 공부커리큘럼은 뭘까 머리가 아프다돈벌기 참 힘들다하지만 과외수니 말도 잘 듣고 숙제도 잘해오고 착하니까 참아야지돈벌어야 놀 수 있다 화이팅"
"18",31,"쩝 요새 무기력하짐","운동해야지 운동 더 쳐지면 구렁텅이에 빠진다~ "
"19",32,"무기력한 개구리?야귤이? 보시오",""
"20",33,"요즘 왤캐 힘드냐","감정기복 지친다 진짜엔프피 특으로 업앤다운 진짜 심한데요즘 다운 주기 인듯ㅜㅠ"
"21",34,"1일 1글: 케어베어",""
"22",36,"난 엔프피인데 걱정이 졸래게많음","없는걱정까지 만들어 걱정해 "
"23",38,"여자애랑 엄청 배찢어지게 웃고 놀고와도","카톡하면 엄청 진지 어색허짐 뭔말해야할지 모르겠으 안가까울때는 막 던졌는데 "
