"","num","title","content"
"1",1,"야 여기뭐냐"," - dc official App"
"2",3,"오쓋~~ 이갤러리 뭐냐","근데 다들 관종냔들이라 여기에 글 안쓸듯 - -;"
"3",6,"예에","엔팁 최고!"
"4",7,"짤털 짤털 ENTP 짤털<U+2764>",""
"5",9,"부매니저 하고싶음","         자리 내놔!        "
"6",10,"자리 내놔","         이건 부탁이 아니라 협박이라구~        "
"7",12,"엔팁 모여모여","(웅성 웅성)"
"8",14,"흥갤테스트"," - dc official App"
"9",15,"ㅎㅇ t 51인 엔팁이에요","ㅈㄱㄴ "
"10",16,"엠걀 대피소임???"," - shangus"
"11",17,"화력분산되면 망하는거아니냐","mbti갤로 집합해라ㅡㅡ "
"12",18,"쫌 잼는애들 있으면 정착할라켔드만","mbti갤 정박아들 다 일루왓네ㅠ쩝 "
"13",20,"우와 드디어","!! "
"14",24,"드뎌 생겼노 근데 엔팁 특성상 화력 오래 못갈듯ㅋ","귀찮잖아~~~ㅎ"
"15",25,"ENTP끼리 모여서 뭔재미냐","다른타입 놀리는재미로 엠갤하는건데"
"16",27,"엔팁이 제일 우월한듯","ㄹㅇ "
"17",28,"내 념글 왜 짤렸어?????"," - dc official App"
"18",30,"ㅎㅇ entp인데","이갤 왜생김 "
"19",31,"앰갤 테러 ㄱ?","10명 모이면 쌉가능"
"20",32,"뭐냐 여기 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 엔팁 ㅋㅋㅋㅋㅋ","         나 엔팁 개좋다 난 참고로 estj or entj 나옴 유쾌하고 능글맞은 엔팁이 좋다 이거야 사회생활할려면 그정도 맛은 있어야 하는거 아니냐?         "
"21",33,"호기심이 많은데 엔팁이 건강???","         자아를 찾고 ... 자아를 .... 찾다가 궁금해질걸? 정신적으로 건강?? ... 엔팁이???        "
"22",34,"엠갤 전쟁 대피소로 이용하면 되겠다","         키배로 글리젠 안되거나 asdf의 병맛 리젠 올라올 때마다 여기로 대피해야겠다. 쉘터임 ㅋㅋㅋㅋ 인프피갤에 가려니 인프피 애들은 너무 귀여워서 씹덕사라 개그같은거 못칠거 같고 (마상입을거 같음) 여기가 딱이지 엔팁은 개그 구분이 가능하니까 은근 지능캐라니까         "
"23",35,"나 오늘 졸업했어","ㅎㅎ "
"24",36,"엔팁조아","         기여우        "
"25",40,"엠갤 변태성욕자갤러리 되서 피난옴","글리젠 할게"
"26",41,"클린한데 역시 엔팁갤 답게","관심사,흥미가 아니면 노관심"
"27",42,"글리젠 좀 하고 간다","엔팁들 성격 대충 풀어조 (댓글로) 빙고판도 하나 갖다놓고 (갤매에게 요청사항)"
"28",44,"여기가 대피소인가요?","         엔팁 최고다        "
"29",45,"안녕하세요","e 높은 인팁입니다 "
"30",46,"내글밀지마","ㅡ.ㅡ "
"31",47,"대피소 왔당","인팁이당 "
"32",49,"엔팁 현실에 많음?","본적이없구만기래 "
"33",50,"엔팁 만나보고싶음","         주변에 존나 웃긴 사람 한명있거든 좀 또라이같음엔팁일거라 생각중인데 친해지고싶다        "
"34",52,"엠비티아이 얘기할게. 고딩때 주변 엔팁들","1. 문과1등여자애 : 조용해보이길래 i일줄알았는데 엔팁이었음. 친구말로는 뭔가 정을 안주는 느낌이 있댔음 "
"35",54,"나는 TF둘다 나옴","         옛날엔 T만 나왔는데 요샌 F도 나옴그래서 T랑 F둘다 이해할수있음        "
"36",55,"어휴 씨발","노무현 갤럼들 할 짓 드릅게 읎나보네 "
"37",56,"야 엠갤 뭔일임","ㅅㅂ 뭐야"
"38",63,"엔팁한테 ‘너 슬픈거 맞아’라고 하면 어떰?","안슬픈데? 이러는데"
"39",65,"I-E 가 49 ~ 51인데 intp냐 entp냐?","         어릴땐 entp로 나왔는데요샌 intp로 나옴        "
"40",67,"안뇽 또 피난왔어","또 싸워.. 근데 여기는 사람이 없는거같네ㅠ"
"41",69,"시발 살려줘","난민받아라 "
"42",72,"욕을 하고 싶은 마음을 승화시키려는 노력","- 꼭짓점(extp들): 애들한테 '쓰벌'같은거 쓰는 법 알려줌 - 밑변 왼쪽 각(인티제): 무념 to the 무상 - 밑변 오른쪽(나머지 티제들): ""ㅇ ㅏㅏ그런거 가르치지마!!!"" 제길 울분을 승화하는데는 별 도움이 안될지도 모르겠어  ㅜㅠ 그치만 인티제와 나머지 티제들의 갭은 상당히  흥미롭지 않니 엠갤러들아..?  ㅜㅠ 책임감을 통감한다 미안하다.  "
"43",73,"엔팁들아 니네 안 우울하냐..?","밖에서 보기엔 어느정도 활동적이고 자유분방하고 마이페이스에 굉장히 행복해 보이는 타입같고 나도 남들은 그렇게 보는데 실제론 꽤 우울하지않냐 E중에선 제일 불행하다고 하고 똘끼넘치거나 신기한 취미 가지고있긴 하나 다른사람보다 루틴한 일상 견디기 힘들어서 평소에 안 행복하고 (내가 해외에 일년에 세번정도 여행가지만 나머지 시간은 좆같은 회사를 다니며 보내야 하는 뭐 이런거) 가성비충이라서 원하고 노력하는 부분에서 실패할 때 느끼는 타격도 존나 큰 것 같고 실력충 성적충인데 본능상 정리에 약한 부분때문에 역량 떨어지는거 견디기 힘들고 "
"44",74,"엔팁끼리는 존나웃긴 조합임","잘맞고 잘논다 팩트인데 어디 놀러갈때 서로 계획안짬 "
"45",75,"피난왔어 글씨체 타입 맞추기 하고 싶은데!!!","일단.. 나의 가설이었던 '-J'는 글씨쓰는 압력이 꽤 있다, 스트록이 분명하다. "
"46",76,"자!! 나두 퀴즈!! 글씨체로 타입 맞춰보기!! ","아는 사람은 모르는 척 해보자구!!  "
"47",77,"타입별 글씨체 - 양덕ver.","ㅋㅋㅋㅋ 아 역시 양덕.. 덕력은 양덕인거 같아 갠적으로.. ※ 의역주의  - 필기보다 생각이 훨 빨라서 상형문자 갈긴거 같음 : INTP ENTP INFJ ISTJ INTJ ESFP - 프린트한거 같음. 대체 어떻게 그러냐고 : ENFJ ISFP ISFJ ESFJ - 아무도 안 쓰는 해괴한 폰트같음 : INFP ENTJ ESTP ISTP ENFP ESTJ  7천 4백명 notedㅋㅋㅋㅋㅋㅋ이느무 양덕들앜ㅋㅋㅋ "
"48",78,"엔팁ㅎㅇ 잇붕이 놀러옴","ㅎㅇ "
"49",79,"밑에 인프제야 맞춰봐","영어도 쓰고 한글도 써봤다"
"50",80,"나도 글씨체 타입 맞추기 해보려고 함 "," 뭐같냐 "
"51",81,"이정ㄷ","ㅡ엔팁? "
"52",82,"오 여기가 낫네","굿굿"
"53",83,"엔팁 맞는듯","쿠헿 "
"54",84,"난 enfp 나오는데 설명보면 엔팁같음","으음 "
"55",85,"왜 엔프피갤은 없음","귀찮으니깐 니들이만들어놔 "
"56",87,"엣프피 갤 안 만드나","나라도 만들까"
"57",89,"엔팁들은 감정을 ","참는건가"
"58",90,"감정을 조종한다? 어느정도 비슷한거같네","엔팁은 가치없는 사람한테 애초에 마음을 안씀 "
"59",91,"여기는 왤케 새글이 없냐? ","이놈의 엔팁들 초반에만 반짝 관심가지고 며칠 지나면 흥미 뚝 ㅋㅋㅋㅋㅋㅋ"
"60",92,"곰이 굴러가면","곰문곰문곰문곰문곰문곰문 "
"61",93,"여기 애니어그램 글 써도 됨?","         쓸데가 없음        "
"62",95,"올려도 된대서 올려보는 애니어그램",""
"63",98,"남들이 우회하자할때 직진이라하는 엔팁들아",""
"64",99,"엔팁보면 그냥 풀어주고싶더라 ","너무 죄면 재미없어하는듯"
"65",100,"날아가 버린","노 "
"66",101,"extj임 오랜만에 들림","알로에 갤주야리젠안하노?엠갤에서 가스라이팅 시리즈물 연재하지말고리젠해라 이거야"
"67",102,"핑까해라","나다 "
"68",104,"entp는 정병 그자체",""
"69",105,"엔팁 인스타에서 음식피드만 조아요 누르는거 뭐임? ","사진 업로드 거의 맨날 하는데<U+00A0>"
"70",106,"아...안녕? 이... 씨발 새끼들아??","인팁갤 폐쇄됬어 ㅜㅜㅜㅜㅜㅜ ㅆ발 어이가 없지만 ㅡㅡ 그래서 여기로 피난왔어. 여기서 지내도 괜찮지?? 구석에서 알아서 짜지고 있을테니 나대는 건 걱정마렴.알아서 짜질테니. "
"71",112,"[ 인티제 ] <U+2022> 강림 <U+2022>","부대 열중 쉬어"
"72",116,"엔팁은 인스타 계정 왜 파니?","1년에 한번씩 업데이트 할꺼면서 인스타 한다고 할수 있음?<U+00A0>"
"73",117,"좆도아닌 사생활 알려지는게 왜싫지","그래서 사회생활 못하겠다<U+00A0>"
"74",123,"인팁들 이 글 봐봐(1)","https://blog.naver.com/ww31ni/221499364474"
"75",124,"(2)","[출처] MBTI 성격유형 검사 그리고 INTP에 관해|작성자 EDS"
"76",125,"엠갤 터졌네 ","대피왔다 "
"77",126,"안녕안녕 친구들","피난왓어 "
"78",127,"너무 신기해","         단 한번도 만나본 적 없는<U+200B>그저 intp유형인 블로거가<U+200B>그 누구보다 나와 같은<U+200B>인생을 살고있다는 게<U+200B>어떻게...너무 동류라 친해지고 싶다고 댓글 남겼어부담스러워하지 않았음 좋겠다답답해 나도 깊은 곳까지 헤아려 줄 친구를 원해        "
"79",128,"인팁과 엔팁은 큰 차이가 있는 거 같아","         단지 E 와 I 하나 차이인데도인팁의 직업은 보통백수 ㅡ 전문직 ㅡ 프리랜서이게 주를 이루는 것 같은 반면에엔팁들은 분야가 훨씬 다양하잖아그리고 엔팁들은 각 분야에서도 야망이 있는 거 같아반면에 인팁들은 즐겁고 편하게 살 궁리를 한다니까        "
