"","num","title","content"
"1",2,"1등","ㅋㅋ estp 있냐"
"2",3,"estp에게 사랑이란 뭐야?","         궁금해        "
"3",5,"엣팁들 다 쳐 나가 노느라 글 없는거봐","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"4",6,"ㅎㅇ","오늘존나더워 "
"5",7,"반갑다","                 "
"6",9,"신생갤","첨봄"
"7",10,"엣팁들 보고싶어요","난 나 같은 사람이 좋은데 "
"8",11,"엣팁들은 다 누구랑 놀아","학교친구? 어떠케 그러케 맨날 만날사람이 많노 "
"9",12,"entp랑 estp왔다갔다하는데","둘다 공감능력같은거 떨어짐? 잘 생각해보니까 공감능력이 떨어진다기 보단 걍 걔 마음은 알겠는데 그런 생각하는게 꼴보기 싫은건거 같긴하네 이건 걍 내가 존나 꼬인거지?"
"10",13,"아 요즘 왤케 좆같지","씨발. "
"11",14,"별 갤러리가 다있네","ㅎㅇ estp더라 "
"12",15,"ㅎㅇ","Istp인데 할 짓 없어서 놀러왔다I가 51이고 e가 49인데 밑에 맨날 나가서 논다는 글보니까 istp 무조건인거같다"
"13",16,"이딴 갤도 다있노","갤에서 땀냄새 풍기노 ㅉㅉ"
"14",20,"[설문조사]카톡에 새 메시지로 떠있으면 하는 내용이 무엇입니까?","         아침에 눈 뜨자마자 본 핸드폰 알림창.누구에게, 어떤 내용을 받고 싶으싶니까?        "
"15",22,"Infp어떰","인프핀데 estp성격 개맘에들더라 히히"
"16",23,"ㅅㅂ년들아","         MBTI검사에서 이거 나왔는데 왜 ㅅㅂ 이거만 제일 커뮤니티가 작냐? 활동좋은 사업가 뭐 이딴거던데 왜 규모가 제일 작은 거냐?        "
"17",24,"디시에 ESTP 있긴있음?","         ㅈㄴ가뭄이네 나밖에없노;        "
"18",26,"estp은 미국에는 4프로 한국에는 6프로있다","신기하노ㅋㅋestp는 미국이 더 잘어울림 "
"19",27,"소수의 엣팁들아 ","연애할때 헤어져도 별로미련없지 니네?ㅅㅂ ㅅㅂ엣팁은 후폭풍이라는게 있을까 ?"
"20",28,"사랑해보다 좋아해가 오글거리지 않음?","사랑해~는 잘하는데 좋아한단말 하기 어려워"
"21",29,"엔팁인지 엣팁인지 헷갈려서 와봤는데","엣팁 존나 커뮤에 관심없구나 나 엔팁 맞는듯"
"22",30,"엣팁 질문 받아주라","어떤 친구가 가장 이상적이야?존나 친해도 연락 잘 안할때도 있음?"
"23",32,"연애 기간","엣팁들아 연애 기간 제일 긴거 얼마나 되?썸은 재밌는데 연애는 재미 없는거 나만인가 내가 쓰레기 인건가"
"24",33,"여기가 인싸갤러리 맞습니까","ㄹㅇ 다놀러나가서 글없음?"
"25",34,"친해지고싶은건 알겠는데 ","인스타 스토리 올릴때마다 디엠보내는거 하트만 누르고 있는데도 자꾸 보내서 할말도 없는데 부담스러움<U+00A0>"
"26",35,"너네들도 다 이러니","과제때매 돈주고도 Mbti검사 받아봤는데 항상 estp임근데 난 생존형 인싸력이라 해야되나 어색함무마하려고 먼저 말걸고 분위기 풀려고 노력함<U+00A0><U+00A0>그래서 굳이 어색할거같은 자리 가는거 안좋아하는데 나만이래?"
"27",36,"엣팁들 개인싸노","         글이 없네        "
"28",37,"섹스","estp갤 키워드분석이라는데 여따 섹스라고 적으면 그림에 글씨 추가되는거 맞지? "
"29",38,"니들 infj랑 상극임?","ㅇㅇ? "
"30",39,"어 머야 갤있었네","반갑다 "
"31",40,"니네 infp 어떤거같음","댓글한번씩만 좀 "
"32",41,"아니 estp 나왔는데 여기 왜 황무지냐?","뭐여"
"33",42,"솔직히 싹다 놀러갔다는건 지랄이고","인터넷질 하는데 굳이 지들끼리 놀 필요가 없어서그럼 아무리 맨날 싸돌아다녀도 침대에서 디시한번 안키겠냐 그리고 눈팅 존나 좋아해서 딱히 글안싸잖아 니네 "
"34",43,"존나 욕잘하고 속물 적인 새끼들","욕 쟁이들임 이새끼들"
"35",44,"estp 시발 정보가 존나 없네","이거 나왔는데 정보 존나 없길래갤러리까지 들왔더니 아무것도 없네 시발"
"36",45,"된장년놈 김치년놈들이 대부분 이유형임","싸가지밥말아쳐먹는년들임"
"37",46,"내 남친 estp인데 뭔가 신기함","영업직인데 이게 인생직업일정도로 성과 개좋음  사람에 대한 선입견 1도 없움  딱히 욕심도 없고 긍정적임  말을 잘하고 말투에서 자신감이 묻어있음. 걱정이 없다해야되나  무조건 친구들이랑 내기게임함. 도박중독은 아닌데 1년에 한번은 강원랜드감  난 isfp임.. 완전 반대성격ㅠㅠ  "
"38",47,"니네","트럼프랑 같은 유형임"
"39",48,"나 estp 인데 말도 안됨","내기를 좋아한다.<U+00A0>*아님*"
